width	512
y0	0
output-directory	/home/user/Desktop
y1	512
yS	25
strategy	BFS
debug	true
xS	25
x0	0
x1	512
dashed	false
input	/home/user/cnv-project/datasets/RANDOM_HILL_512x512_2019-03-01_10-28-39.dat
height	512
gradient	RAINBOW


> Target is the maximum value at (487, 511) within rectangle upper-left (0, 0) and lower-right (512, 512).
> Starting at (25, 25).
> Solution path is 261841 pixels long.
Start: (25, 25) / Finish (487, 511)
> Image name: BFS_512x512_2019-04-08_15-20-32.png
Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	41	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory	getInstance	3	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory	toString	9	0	1
pt/ulisboa/tecnico/cnv/solver/Solver	<init>	126	512	262144
pt/ulisboa/tecnico/cnv/solver/Solver	<init>	111	1	512
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	727	1	513
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	663	1	513
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	531	0	1
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	379	261841	0
pt/ulisboa/tecnico/cnv/solver/Coordinate	getPath	354	1	261841
pt/ulisboa/tecnico/cnv/solver/Coordinate	getPath	268	0	1
pt/ulisboa/tecnico/cnv/solver/Solver	toString	146	0	1
pt/ulisboa/tecnico/cnv/solver/Solver	toString	99	261362	782
pt/ulisboa/tecnico/cnv/solver/Solver	toString	71	261394	750
pt/ulisboa/tecnico/cnv/solver/Solver	toString	55	512	262144
pt/ulisboa/tecnico/cnv/solver/Solver	toString	30	1	512
pt/ulisboa/tecnico/cnv/solver/Coordinate	getX	25	2	40
pt/ulisboa/tecnico/cnv/solver/Coordinate	getY	48	40	800
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	111	295	188
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	99	137	483
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	92	180	620
pt/ulisboa/tecnico/cnv/solver/Coordinate	getTargetY	19	511	1
pt/ulisboa/tecnico/cnv/solver/Coordinate	getTargetX	8	261332	512
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	41	667	1045993
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	30	512	1046660
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	19	488	1047172
pt/ulisboa/tecnico/cnv/solver/Coordinate	toString	8	512	1047660
pt/ulisboa/tecnico/cnv/solver/Coordinate	isUnvisitedPassage	10	522662	522711
pt/ulisboa/tecnico/cnv/solver/Coordinate	isQueued	10	261867	260844
pt/ulisboa/tecnico/cnv/solver/Coordinate	run	30	261843	261843000
